CMDLINE /home/simon/Documents/Geek/docker_engine/mem_profiler/.venv/bin/python main.py
MEM 0.250000 1734432108.6194
MEM 22.875000 1734432108.7198
MEM 23.000000 1734432108.8201
MEM 23.000000 1734432108.9204
MEM 23.125000 1734432109.0208
MEM 23.125000 1734432109.1211
MEM 23.125000 1734432109.2213
MEM 23.125000 1734432109.3217
MEM 23.250000 1734432109.4220
MEM 23.250000 1734432109.5223
MEM 23.375000 1734432109.6226
MEM 23.500000 1734432109.7230
MEM 23.500000 1734432109.8233
MEM 23.625000 1734432109.9237
MEM 23.750000 1734432110.0240
MEM 23.875000 1734432110.1243
MEM 23.875000 1734432110.2247
MEM 23.875000 1734432110.3250
MEM 24.000000 1734432110.4253
MEM 24.000000 1734432110.5257
MEM 24.000000 1734432110.6261
MEM 24.125000 1734432110.7264
MEM 24.125000 1734432110.8268
MEM 24.250000 1734432110.9273
MEM 24.250000 1734432111.0277
MEM 24.375000 1734432111.1280
MEM 24.375000 1734432111.2284
MEM 24.500000 1734432111.3288
MEM 24.500000 1734432111.4291
MEM 24.500000 1734432111.5295
MEM 24.625000 1734432111.6299
MEM 24.625000 1734432111.7303
MEM 24.625000 1734432111.8306
MEM 24.750000 1734432111.9309
MEM 24.750000 1734432112.0313
MEM 24.875000 1734432112.1316
MEM 24.875000 1734432112.2320
MEM 25.000000 1734432112.3323
MEM 25.125000 1734432112.4327
MEM 25.125000 1734432112.5330
MEM 25.125000 1734432112.6334
MEM 25.250000 1734432112.7338
MEM 25.250000 1734432112.8341
MEM 25.375000 1734432112.9345
MEM 25.500000 1734432113.0348
MEM 25.500000 1734432113.1351
MEM 25.500000 1734432113.2355
MEM 25.625000 1734432113.3358
MEM 25.625000 1734432113.4362
MEM 25.750000 1734432113.5365
MEM 25.750000 1734432113.6369
MEM 25.875000 1734432113.7373
MEM 25.875000 1734432113.8377
MEM 26.000000 1734432113.9379
MEM 26.000000 1734432114.0382
MEM 26.125000 1734432114.1384
MEM 26.125000 1734432114.2387
MEM 26.125000 1734432114.3390
MEM 26.125000 1734432114.4394
MEM 26.250000 1734432114.5397
MEM 26.250000 1734432114.6400
MEM 26.375000 1734432114.7403
MEM 26.375000 1734432114.8406
MEM 26.500000 1734432114.9409
MEM 26.500000 1734432115.0412
MEM 26.500000 1734432115.1414
MEM 26.625000 1734432115.2417
MEM 26.625000 1734432115.3419
MEM 26.625000 1734432115.4422
MEM 26.750000 1734432115.5425
MEM 26.750000 1734432115.6428
MEM 26.875000 1734432115.7432
MEM 26.875000 1734432115.8436
MEM 27.000000 1734432115.9439
MEM 27.000000 1734432116.0442
MEM 27.125000 1734432116.1446
MEM 27.125000 1734432116.2450
MEM 27.125000 1734432116.3454
MEM 27.250000 1734432116.4457
MEM 27.375000 1734432116.5461
MEM 27.375000 1734432116.6464
MEM 27.375000 1734432116.7468
MEM 27.500000 1734432116.8471
MEM 27.500000 1734432116.9475
MEM 27.625000 1734432117.0478
MEM 27.625000 1734432117.1481
MEM 27.750000 1734432117.2485
MEM 27.750000 1734432117.3488
MEM 27.750000 1734432117.4492
MEM 27.875000 1734432117.5496
MEM 28.000000 1734432117.6500
MEM 28.000000 1734432117.7503
MEM 28.125000 1734432117.8507
MEM 28.125000 1734432117.9511
MEM 28.125000 1734432118.0514
MEM 28.250000 1734432118.1518
MEM 28.250000 1734432118.2521
MEM 28.375000 1734432118.3524
MEM 28.375000 1734432118.4528
MEM 28.500000 1734432118.5531
MEM 28.500000 1734432118.6536
MEM 28.625000 1734432118.7539
MEM 28.625000 1734432118.8544
MEM 28.750000 1734432118.9547
MEM 28.750000 1734432119.0550
MEM 28.750000 1734432119.1554
MEM 28.750000 1734432119.2557
MEM 28.875000 1734432119.3561
MEM 28.875000 1734432119.4564
MEM 29.000000 1734432119.5567
MEM 29.000000 1734432119.6570
MEM 29.125000 1734432119.7573
MEM 29.125000 1734432119.8577
MEM 29.250000 1734432119.9580
MEM 29.375000 1734432120.0583
MEM 29.375000 1734432120.1587
MEM 29.375000 1734432120.2590
MEM 29.375000 1734432120.3593
MEM 29.500000 1734432120.4597
MEM 29.500000 1734432120.5601
MEM 29.625000 1734432120.6604
MEM 29.625000 1734432120.7608
MEM 29.750000 1734432120.8612
MEM 29.750000 1734432120.9616
MEM 29.875000 1734432121.0620
MEM 29.875000 1734432121.1623
MEM 30.000000 1734432121.2627
MEM 30.000000 1734432121.3630
MEM 30.000000 1734432121.4634
MEM 30.125000 1734432121.5637
MEM 30.125000 1734432121.6641
MEM 30.250000 1734432121.7644
MEM 30.250000 1734432121.8648
MEM 30.375000 1734432121.9651
MEM 30.375000 1734432122.0654
MEM 30.375000 1734432122.1658
MEM 30.500000 1734432122.2661
MEM 30.500000 1734432122.3664
MEM 30.750000 1734432122.4668
MEM 30.750000 1734432122.5671
MEM 30.875000 1734432122.6674
MEM 30.875000 1734432122.7678
MEM 31.000000 1734432122.8680
MEM 31.000000 1734432122.9684
MEM 31.125000 1734432123.0687
MEM 31.125000 1734432123.1691
MEM 31.125000 1734432123.2694
MEM 31.250000 1734432123.3698
MEM 31.250000 1734432123.4701
MEM 31.375000 1734432123.5704
MEM 31.375000 1734432123.6708
MEM 31.500000 1734432123.7712
MEM 31.500000 1734432123.8715
MEM 31.500000 1734432123.9720
MEM 31.625000 1734432124.0723
MEM 31.625000 1734432124.1727
MEM 31.750000 1734432124.2730
MEM 31.750000 1734432124.3733
MEM 31.875000 1734432124.4737
MEM 31.875000 1734432124.5741
MEM 32.000000 1734432124.6744
MEM 32.000000 1734432124.7748
MEM 32.000000 1734432124.8752
MEM 32.125000 1734432124.9755
MEM 32.125000 1734432125.0759
MEM 32.125000 1734432125.1762
MEM 32.250000 1734432125.2766
MEM 32.375000 1734432125.3770
MEM 32.375000 1734432125.4773
MEM 32.375000 1734432125.5777
MEM 32.500000 1734432125.6780
MEM 32.500000 1734432125.7784
MEM 32.625000 1734432125.8788
MEM 32.625000 1734432125.9791
MEM 32.625000 1734432126.0794
MEM 32.625000 1734432126.1798
MEM 32.750000 1734432126.2801
MEM 32.750000 1734432126.3804
MEM 32.875000 1734432126.4808
MEM 32.875000 1734432126.5811
MEM 33.000000 1734432126.6815
MEM 33.000000 1734432126.7818
MEM 33.000000 1734432126.8821
MEM 33.125000 1734432126.9824
MEM 33.125000 1734432127.0828
MEM 33.250000 1734432127.1831
MEM 33.250000 1734432127.2834
MEM 33.375000 1734432127.3837
MEM 33.375000 1734432127.4840
MEM 33.500000 1734432127.5844
MEM 33.500000 1734432127.6847
MEM 33.500000 1734432127.7851
MEM 33.625000 1734432127.8854
MEM 33.625000 1734432127.9858
MEM 33.750000 1734432128.0862
MEM 33.750000 1734432128.1865
MEM 33.875000 1734432128.2868
MEM 33.875000 1734432128.3872
MEM 33.875000 1734432128.4875
MEM 34.000000 1734432128.5878
MEM 34.000000 1734432128.6882
MEM 34.125000 1734432128.7885
MEM 34.125000 1734432128.8888
MEM 34.250000 1734432128.9891
MEM 34.250000 1734432129.0896
MEM 34.250000 1734432129.1899
MEM 34.375000 1734432129.2903
MEM 34.375000 1734432129.3907
MEM 34.500000 1734432129.4910
MEM 34.500000 1734432129.5913
MEM 34.500000 1734432129.6918
MEM 34.625000 1734432129.7921
MEM 34.625000 1734432129.8923
MEM 34.625000 1734432129.9925
MEM 34.750000 1734432130.0927
MEM 34.750000 1734432130.1932
MEM 34.875000 1734432130.2934
MEM 34.875000 1734432130.3938
MEM 34.875000 1734432130.4941
MEM 35.000000 1734432130.5946
MEM 35.000000 1734432130.6950
MEM 35.125000 1734432130.7953
MEM 35.125000 1734432130.8958
MEM 35.250000 1734432130.9962
MEM 35.250000 1734432131.0967
MEM 35.250000 1734432131.1971
MEM 35.375000 1734432131.2974
MEM 35.375000 1734432131.3978
MEM 35.375000 1734432131.4982
MEM 35.500000 1734432131.5985
MEM 35.500000 1734432131.6989
MEM 35.625000 1734432131.7992
MEM 35.625000 1734432131.8997
MEM 35.625000 1734432132.0001
MEM 35.750000 1734432132.1004
MEM 35.750000 1734432132.2008
MEM 35.875000 1734432132.3011
MEM 35.875000 1734432132.4014
MEM 36.000000 1734432132.5018
MEM 36.000000 1734432132.6022
MEM 36.000000 1734432132.7026
MEM 36.125000 1734432132.8030
MEM 36.125000 1734432132.9034
MEM 36.250000 1734432133.0037
MEM 36.250000 1734432133.1040
MEM 36.250000 1734432133.2043
MEM 36.375000 1734432133.3047
MEM 36.375000 1734432133.4050
MEM 36.500000 1734432133.5054
MEM 36.500000 1734432133.6057
MEM 36.625000 1734432133.7061
MEM 36.625000 1734432133.8064
MEM 36.625000 1734432133.9067
MEM 36.750000 1734432134.0073
MEM 36.750000 1734432134.1078
MEM 36.875000 1734432134.2083
MEM 36.875000 1734432134.3087
MEM 37.000000 1734432134.4090
MEM 37.000000 1734432134.5094
MEM 37.000000 1734432134.6098
MEM 37.125000 1734432134.7102
MEM 37.125000 1734432134.8106
MEM 37.125000 1734432134.9109
MEM 37.250000 1734432135.0113
MEM 37.250000 1734432135.1116
MEM 37.375000 1734432135.2120
MEM 37.375000 1734432135.3124
MEM 37.375000 1734432135.4127
MEM 37.500000 1734432135.5129
MEM 37.500000 1734432135.6132
MEM 37.500000 1734432135.7136
MEM 37.625000 1734432135.8141
MEM 37.625000 1734432135.9145
MEM 37.750000 1734432136.0148
MEM 37.750000 1734432136.1151
MEM 37.750000 1734432136.2153
MEM 37.875000 1734432136.3156
MEM 38.000000 1734432136.4159
MEM 38.000000 1734432136.5162
MEM 38.000000 1734432136.6165
MEM 38.125000 1734432136.7168
MEM 38.125000 1734432136.8172
MEM 38.250000 1734432136.9175
MEM 38.250000 1734432137.0178
MEM 38.375000 1734432137.1181
MEM 38.375000 1734432137.2184
MEM 38.500000 1734432137.3187
MEM 38.500000 1734432137.4191
MEM 38.625000 1734432137.5194
MEM 38.625000 1734432137.6198
MEM 38.625000 1734432137.7202
MEM 38.750000 1734432137.8205
MEM 38.875000 1734432137.9208
MEM 38.875000 1734432138.0212
MEM 39.000000 1734432138.1215
MEM 39.000000 1734432138.2218
MEM 39.125000 1734432138.3222
MEM 39.125000 1734432138.4225
MEM 39.125000 1734432138.5230
MEM 39.250000 1734432138.6233
MEM 39.250000 1734432138.7236
MEM 39.375000 1734432138.8240
MEM 39.375000 1734432138.9243
MEM 39.500000 1734432139.0247
MEM 39.500000 1734432139.1251
MEM 39.500000 1734432139.2254
MEM 39.625000 1734432139.3259
MEM 39.625000 1734432139.4262
MEM 39.750000 1734432139.5266
MEM 39.750000 1734432139.6269
MEM 39.875000 1734432139.7273
MEM 39.875000 1734432139.8276
MEM 40.000000 1734432139.9279
MEM 40.000000 1734432140.0283
MEM 40.125000 1734432140.1286
MEM 40.250000 1734432140.2289
MEM 40.250000 1734432140.3293
MEM 40.375000 1734432140.4297
MEM 40.375000 1734432140.5300
MEM 40.500000 1734432140.6304
MEM 40.500000 1734432140.7307
MEM 40.625000 1734432140.8311
MEM 40.625000 1734432140.9314
MEM 40.750000 1734432141.0318
MEM 40.750000 1734432141.1321
MEM 40.875000 1734432141.2324
MEM 40.875000 1734432141.3328
MEM 41.000000 1734432141.4331
MEM 41.000000 1734432141.5335
MEM 41.125000 1734432141.6338
MEM 41.125000 1734432141.7341
MEM 41.250000 1734432141.8344
MEM 41.250000 1734432141.9348
MEM 41.375000 1734432142.0351
MEM 41.375000 1734432142.1355
MEM 41.500000 1734432142.2361
MEM 41.500000 1734432142.3366
MEM 41.625000 1734432142.4373
MEM 41.625000 1734432142.5377
MEM 41.750000 1734432142.6380
MEM 41.750000 1734432142.7383
MEM 41.750000 1734432142.8387
MEM 41.875000 1734432142.9390
MEM 41.875000 1734432143.0394
MEM 42.000000 1734432143.1397
MEM 42.000000 1734432143.2403
MEM 42.125000 1734432143.3407
MEM 42.125000 1734432143.4410
MEM 42.250000 1734432143.5413
MEM 42.250000 1734432143.6417
MEM 42.375000 1734432143.7420
MEM 42.375000 1734432143.8424
MEM 42.375000 1734432143.9428
MEM 42.500000 1734432144.0432
MEM 42.500000 1734432144.1435
MEM 42.625000 1734432144.2438
MEM 42.625000 1734432144.3442
MEM 42.750000 1734432144.4447
MEM 42.750000 1734432144.5451
MEM 42.875000 1734432144.6456
MEM 42.875000 1734432144.7459
MEM 42.875000 1734432144.8462
MEM 43.000000 1734432144.9466
MEM 43.000000 1734432145.0469
MEM 43.125000 1734432145.1473
MEM 43.125000 1734432145.2476
MEM 43.250000 1734432145.3484
MEM 43.375000 1734432145.4492
MEM 43.375000 1734432145.5495
MEM 43.500000 1734432145.6497
MEM 43.500000 1734432145.7500
MEM 43.500000 1734432145.8503
MEM 43.625000 1734432145.9507
MEM 43.625000 1734432146.0511
MEM 43.750000 1734432146.1522
MEM 43.750000 1734432146.2528
MEM 43.875000 1734432146.3531
MEM 43.875000 1734432146.4534
MEM 44.000000 1734432146.5538
MEM 44.000000 1734432146.6542
MEM 44.125000 1734432146.7545
MEM 44.125000 1734432146.8548
MEM 44.250000 1734432146.9552
MEM 44.250000 1734432147.0555
MEM 44.375000 1734432147.1559
MEM 44.375000 1734432147.2563
MEM 44.500000 1734432147.3565
MEM 44.500000 1734432147.4568
MEM 44.625000 1734432147.5571
MEM 44.625000 1734432147.6574
MEM 44.750000 1734432147.7578
MEM 44.750000 1734432147.8581
MEM 44.875000 1734432147.9585
MEM 44.875000 1734432148.0588
MEM 45.000000 1734432148.1591
MEM 45.000000 1734432148.2595
MEM 45.125000 1734432148.3598
MEM 45.125000 1734432148.4602
MEM 45.250000 1734432148.5605
MEM 45.250000 1734432148.6609
MEM 45.375000 1734432148.7612
MEM 45.375000 1734432148.8616
MEM 45.500000 1734432148.9619
MEM 45.500000 1734432149.0623
MEM 45.625000 1734432149.1627
MEM 45.625000 1734432149.2635
MEM 45.750000 1734432149.3638
MEM 45.750000 1734432149.4642
MEM 45.875000 1734432149.5652
MEM 45.875000 1734432149.6656
MEM 46.000000 1734432149.7660
MEM 46.000000 1734432149.8663
MEM 46.125000 1734432149.9666
MEM 46.125000 1734432150.0670
MEM 46.250000 1734432150.1674
MEM 46.250000 1734432150.2677
MEM 46.375000 1734432150.3680
MEM 46.375000 1734432150.4683
MEM 46.500000 1734432150.5686
MEM 46.500000 1734432150.6689
MEM 46.500000 1734432150.7692
MEM 46.625000 1734432150.8695
MEM 46.625000 1734432150.9698
MEM 46.750000 1734432151.0702
MEM 46.750000 1734432151.1705
